x,interface_y
0,155.8566548291902
1,155.32483445135526
2,154.808918102346
3,154.38321559141264
4,154.00636497855686
5,153.67955693051704
6,153.4080417955978
7,153.1667894746187
8,152.9426254507616
9,152.7480982878055
10,152.58004700180877
11,152.4299470328088
12,152.2922233863214
13,152.16312059834172
14,152.04008122892068
15,151.92349893190686
16,151.81836548488008
17,151.72275368298008
18,151.63480940268698
19,151.55311947203703
20,151.47660906916374
21,151.40444045425727
22,151.33596618563743
23,151.27066446394474
24,151.20812046829587
25,151.14800859735988
26,151.09005431778095
27,151.03404487068795
28,150.97994390150808
29,150.92905033831642
30,150.8813953793016
31,150.83663808813066
32,150.79448460393155
33,150.7546819617194
34,150.71701610348694
35,150.68129945287095
36,150.64736938463568
37,150.61508482932138
38,150.584319784049
39,150.554963298434
40,150.5269174041298
41,150.50009322507924
42,150.4744175993694
43,150.4498149459252
44,150.42622742196846
45,150.40359494466213
46,150.38186863385843
47,150.36100038712038
48,150.34094471420053
49,150.32167000046914
50,150.30313410269332
51,150.2853060945146
52,150.26815182932054
53,150.25164988886314
54,150.23576917787022
55,150.22048674642775
56,150.20577530144382
57,150.19161868063986
58,150.17799807873715
59,150.1648858932403
60,150.15226971756073
61,150.14013082356215
62,150.12845355614996
63,150.1172230222106
64,150.10642045454546
65,150.0960356511233
66,150.08604913209896
67,150.07645423767516
68,150.0672366100681
69,150.0583813017762
70,150.04987341995465
71,150.04171009628124
72,150.03387671705423
73,150.0263576258652
74,150.019150445617
75,150.01223529411766
76,150.0056138073882
77,149.9992703685084
78,149.99320952266677
79,149.98743213307466
80,149.9819317985267
81,149.97668916074775
82,149.9716983637909
83,149.96694489045768
84,149.96242276379644
85,149.95812244393213
86,149.9540296847485
87,149.95013915168195
88,149.94644140113633
89,149.94293102384958
90,149.93959486292172
91,149.9364318025804
92,149.93342862797704
93,149.9305842528685
94,149.92788624209587
95,149.92533327476775
96,149.922916831318
97,149.92062781449977
98,149.91846593277378
99,149.91642652560847
100,149.91449656013083
101,149.9126758340749
102,149.91096376671868
103,149.90934780894298
104,149.90782782379404
105,149.90639451373318
106,149.90505253940455
107,149.90379261438252
108,149.90260715051622
109,149.90149917296063
110,149.9004602689861
111,149.8994908047385
112,149.89858241955307
113,149.89773418059207
114,149.89694603080207
115,149.8962100808003
116,149.8955297615144
117,149.8948932933493
118,149.89430364807805
119,149.89375781256828
120,149.89325437580578
121,149.89278987549764
122,149.89235992763693
123,149.89196404773244
124,149.89159879758117
125,149.8912636968945
126,149.89095826015534
127,149.89067906196485
128,149.89042125174194
129,149.89018919190462
130,149.8899785085267
131,149.8897853102409
132,149.88961299903906
133,149.8894542817957
134,149.8893125603295
135,149.88918394800749
136,149.88907184255697
137,149.8889689600503
138,149.88887869814732
139,149.88880105516927
140,149.88872826689843
141,149.88866809623843
142,149.88861229391856
143,149.88856522707522
144,149.88852640865062
145,149.8884963249905
146,149.88846672868056
147,149.88844877281858
148,149.888431791284
149,149.88842305693487
150,149.8884148098977
151,149.8884148098977
152,149.88842305693487
153,149.888431791284
154,149.88844877281858
155,149.88846672868056
156,149.8884963249905
157,149.88852640865062
158,149.88856522707522
159,149.88861229391856
160,149.88866809623843
161,149.88872826689843
162,149.88880105516927
163,149.88887869814732
164,149.8889689600503
165,149.88907184255697
166,149.88918394800749
167,149.8893125603295
168,149.8894542817957
169,149.88961299903906
170,149.8897853102409
171,149.8899785085267
172,149.89018919190462
173,149.89042125174194
174,149.89067906196485
175,149.89095826015534
176,149.8912636968945
177,149.89159879758117
178,149.89196404773244
179,149.89235992763693
180,149.89278987549764
181,149.89325437580578
182,149.89375781256828
183,149.89430364807805
184,149.8948932933493
185,149.8955297615144
186,149.8962100808003
187,149.89694603080207
188,149.89773418059207
189,149.89858197596095
190,149.8994908047385
191,149.9004602689861
192,149.90149917296063
193,149.90260715051622
194,149.90379261438252
195,149.90505253940455
196,149.90639451373318
197,149.90782782379404
198,149.90934780894298
199,149.91096376671868
200,149.9126758340749
201,149.91449656013083
202,149.91642652560847
203,149.91846593277378
204,149.92062781449977
205,149.922916831318
206,149.92533327476775
207,149.92788624209587
208,149.9305842528685
209,149.93342862797704
210,149.9364318025804
211,149.93959486292172
212,149.94293102384958
213,149.94644140113633
214,149.95013915168195
215,149.9540296847485
216,149.95812244393213
217,149.96242276379644
218,149.96694489045768
219,149.9716983637909
220,149.97668916074775
221,149.9819317985267
222,149.98743213307466
223,149.99320952266677
224,149.9992703685084
225,150.0056138073882
