x,interface_y
0,156.20729599723484
1,155.62829796522664
2,155.15793364228244
3,154.75217170538912
4,154.42518259566765
5,154.13748154435902
6,153.8697315947484
7,153.638862116937
8,153.4335127924151
9,153.2427102137871
10,153.05925869671074
11,152.88338465480604
12,152.72593201991774
13,152.58262084452957
14,152.44949404227293
15,152.32364064568256
16,152.20290748936947
17,152.08568605743574
18,151.9710756667319
19,151.86426089047234
20,151.76596378391213
21,151.67462841148853
22,151.58902307122358
23,151.50817247622206
24,151.4313010861522
25,151.35778235592693
26,151.28710982708515
27,151.2188878053832
28,151.15278315448825
29,151.08853563024618
30,151.02593854233197
31,150.96527359659996
32,150.90825173107874
33,150.8546824495691
34,150.80420474924915
35,150.75650806066884
36,150.71132582500343
37,150.6684278757175
38,150.62761744752345
39,150.5887217981268
40,150.55159749963954
41,150.51611645382917
42,150.48216132368148
43,150.44963514791243
44,150.41845316902604
45,150.3885291868468
46,150.35979900780313
47,150.33219820311302
48,150.30567832908432
49,150.28018145247572
50,150.25566841387356
51,150.23209356322826
52,150.20942392578797
53,150.1876220935258
54,150.16665511084918
55,150.14649714740094
56,150.12711262542862
57,150.10848679467856
58,150.09059445629745
59,150.07341041478136
60,150.05691053329397
61,150.04107907091782
62,150.0258962732039
63,150.0113345764518
64,149.99738502795086
65,149.9841171251109
66,149.9715367079082
67,149.95961126449475
68,149.94830984114668
69,149.93760672476014
70,149.9274648506151
71,149.9178690344062
72,149.90878387257865
73,149.9001916111082
74,149.89206677939293
75,149.88439230678588
76,149.87714487496947
77,149.87030786584384
78,149.86385787508812
79,149.8577837868387
80,149.8520635775628
81,149.84668674960284
82,149.84163062762158
83,149.83688508955976
84,149.83243653062993
85,149.8282715439973
86,149.82437690153768
87,149.82073876048466
88,149.817344154693
89,149.81418457495548
90,149.81124917908127
91,149.8085234119563
92,149.80600088946844
93,149.80366909114454
94,149.80152335742798
95,149.79954784904717
96,149.79774059552003
97,149.7960892891028
98,149.79458687984547
99,149.79322282339245
100,149.79199444801262
101,149.79088871648995
102,149.78990463138933
103,149.7890334812772
104,149.7882683947245
105,149.78760318472436
106,149.78702854065696
107,149.78654415280633
108,149.78614165902073
109,149.785817356358
110,149.78556106889957
111,149.78537186273792
112,149.78524203934134
113,149.7851697433821
114,149.78514575149887
115,149.78517066867664
116,149.78523773220832
117,149.78534263686092
118,149.78548630942382
119,149.78565829033175
120,149.78586381571012
121,149.7860918109334
122,149.78634382107657
123,149.78660876982127
124,149.78689435615541
125,149.78718949517926
126,149.78749574560666
127,149.78780724241184
128,149.78812646491107
129,149.78844662369445
130,149.78876589437218
131,149.78908609865084
