x,interface_y
0,156.5565638233515
1,156.01475949054037
2,155.50860594847643
3,155.07703613387397
4,154.693529156731
5,154.37523162857664
6,154.08771460807546
7,153.82171982703068
8,153.5943453996656
9,153.3914199249276
10,153.20227043611658
11,153.0198284379772
12,152.84798432619783
13,152.69429832699717
14,152.55363179651326
15,152.42221205134678
16,152.29730509153046
17,152.17687744453252
18,152.05941427040622
19,151.9448944433865
20,151.8390378432073
21,151.74128680554958
22,151.6501602358672
23,151.5644940301429
24,151.4833542299764
25,151.40599993189636
26,151.33182655210572
27,151.26035485160088
28,151.19119397751524
29,151.124029348823
30,151.05860632957183
31,150.99473332739737
32,150.93386220080518
33,150.87677780979072
34,150.8230673241072
35,150.77237473892728
36,150.72440479251298
37,150.67889493140277
38,150.63562305010873
39,150.59439840634064
40,150.55505830551326
41,150.51745290217556
42,150.4814606003315
43,150.4469725564372
44,150.41389263853162
45,150.3821327926756
46,150.35162486535737
47,150.32229635190936
48,150.29409174468813
49,150.2669586495648
50,150.24084727921115
51,150.2157200649689
52,150.19153164830416
53,150.1682526476349
54,150.1458455573955
55,150.12428393307118
56,150.10353739652163
57,150.08358337281325
58,150.06439732290187
59,150.04595230423595
60,150.02823292941545
61,150.01121270388248
62,149.99488294344118
63,149.97934972469255
64,149.96462556156922
65,149.95066079683806
66,149.9374213255165
67,149.9248696584106
68,149.91297867210275
69,149.9017062785273
70,149.89103555543906
71,149.8809274527767
72,149.87136247996096
73,149.86231455296934
74,149.85375901132852
75,149.84567504687826
76,149.83803800157835
77,149.83083307702637
78,149.82404013036307
79,149.81763652718436
80,149.81160873247714
81,149.80594108146855
82,149.80061193488805
83,149.79561206402056
84,149.79092292373412
85,149.78653224764122
86,149.78242521068475
87,149.77858987603307
88,149.77501355340038
89,149.77168503950554
90,149.7685937620927
91,149.76572204718656
92,149.7630684479432
93,149.7606163839211
94,149.75835899550322
95,149.75628534500157
96,149.75438438322408
97,149.7526516175833
98,149.75107399285005
99,149.74964706084285
100,149.7483588903095
101,149.74720400169883
102,149.74617799969116
103,149.74526691429404
104,149.7444717023211
105,149.74377843820895
106,149.74318488818372
107,149.74268243527183
108,149.74226896953897
109,149.7419336857857
110,149.7416744915941
111,149.74148598182933
112,149.74136068188443
113,149.74129430024266
114,149.74128254708688
115,149.74132320343685
116,149.7414078444151
117,149.74153632434658
118,149.7417002173829
119,149.74189730946512
120,149.74212649912744
121,149.7423782448738
122,149.74265352240712
123,149.7429502572899
124,149.74326416316097
125,149.74358666472259
126,149.74392095309162
127,149.74426384183215
128,149.74461104296583
129,149.7449614630736
130,149.74530980587272
131,149.74565598768106
132,149.74599899626386
133,149.74633453728092
134,149.74666043223488
135,149.74697885520382
136,149.74728334312888
137,149.7475760643866
138,149.74785272388732
139,149.7481122361421
140,149.7483556795023
141,149.74858089235377
142,149.74878574125563
143,149.74897022226037
144,149.74913325552657
145,149.7492759157788
146,149.74939283415577
147,149.7494893755793
148,149.74956017266976
149,149.74961059022937
150,149.7496352620106
151,149.7496352620106
152,149.74961059022937
153,149.74956017266976
154,149.7494893755793
155,149.74939283415577
156,149.7492759157788
157,149.74913325552657
158,149.74897022226037
159,149.74878574125563
160,149.74858089235377
161,149.7483556795023
162,149.7481122361421
163,149.74785272388732
164,149.7475760643866
165,149.74728334312888
166,149.74697885520382
167,149.74666043223488
168,149.74633453728092
169,149.74599899626386
170,149.74565598768106
171,149.74530980587272
172,149.7449614630736
173,149.74461104296583
174,149.74426384183215
175,149.74392095309162
176,149.74358666472259
177,149.74326416316097
178,149.7429502572899
179,149.74265352240712
180,149.7423782448738
181,149.74212649912744
182,149.74189730946512
183,149.7417002173829
184,149.74153632434658
185,149.7414078444151
186,149.74132320343685
187,149.74128254708688
188,149.74129430024266
189,149.74136068188443
190,149.74148598182933
191,149.7416744915941
192,149.7419336857857
193,149.74226896953897
194,149.74268243527183
195,149.74318488818372
196,149.74377843820895
197,149.7444717023211
198,149.74526691429404
199,149.74617799969116
200,149.74720400169883
201,149.7483588903095
202,149.74964706084285
203,149.75107399285005
204,149.7526516175833
205,149.75438438322408
206,149.75628534500157
207,149.75835899550322
208,149.7606163839211
209,149.7630684479432
210,149.76572204718656
211,149.7685937620927
212,149.77168503950554
213,149.77501355340038
214,149.77858987603307
215,149.78242521068475
216,149.78653224764122
217,149.79092292373412
218,149.79561206402056
219,149.80061193488805
220,149.80594108146855
221,149.81160873247714
222,149.81763652718436
223,149.82404013036307
224,149.83083307702637
225,149.83803800157835
226,149.84567504687826
227,149.85375901132852
228,149.86231455296934
229,149.87136247996096
230,149.8809274527767
231,149.89103555543906
232,149.9017062785273
233,149.91297867210275
234,149.9248696584106
235,149.9374213255165
236,149.95066079683806
237,149.96462556156922
238,149.97934972469255
239,149.99488294344118
240,150.01121270388248
241,150.02823292941545
242,150.04595230423595
243,150.06439732290187
244,150.08358337281325
245,150.10353739652163
246,150.12428393307118
247,150.1458455573955
248,150.1682526476349
249,150.19153164830416
250,150.2157200649689
251,150.24084727921115
252,150.2669586495648
253,150.29409174468813
254,150.32229635190936
255,150.35162486535737
256,150.3821327926756
257,150.41389263853162
258,150.4469725564372
259,150.4814606003315
260,150.51745290217556
261,150.55505830551326
262,150.59439840634064
263,150.63562305010873
264,150.67889493140277
265,150.72440479251298
266,150.77237473892728
267,150.8230673241072
268,150.87677780979072
269,150.93386220080518
270,150.99473332739737
271,151.05860632957183
272,151.124029348823
273,151.19119397751524
274,151.26035485160088
275,151.33182655210572
276,151.40599993189636
277,151.4833564257967
278,151.5644940301429
279,151.6501602358672
280,151.74128680554958
281,151.8390378432073
282,151.9448944433865
283,152.05941427040622
284,152.17687744453252
285,152.29730509153046
286,152.42221205134678
287,152.55363179651326
288,152.69429832699717
289,152.84798432619783
290,153.0198284379772
291,153.20227043611658
292,153.3914199249276
293,153.5943453996656
294,153.82171982703068
295,154.08771460807546
296,154.37523162857664
297,154.693529156731
298,155.07703613387397
299,155.50860594847643
300,156.01475949054037
301,156.5565638233515
