x,interface_y
0,154.52432093101865
1,153.97072499385598
2,153.4778165573084
3,153.06455771239308
4,152.7100709461428
5,152.4288754426225
6,152.19198914561494
7,151.9840049368035
8,151.81039516121984
9,151.66999308071496
10,151.55347539990873
11,151.45473159061982
12,151.3695582634212
13,151.29495120843723
14,151.22868505982876
15,151.1690699914105
16,151.11480374419884
17,151.06488033642307
18,151.0185149846226
19,150.9753136220577
20,150.9356839714014
21,150.89915837662537
22,150.86527006078762
23,150.83367510177186
24,150.80409864386283
25,150.77632802410676
26,150.75018994921808
27,150.72554191896268
28,150.70226959022594
29,150.68026618889172
30,150.65944115517314
31,150.63971207596293
32,150.62099725040053
33,150.60323472338402
34,150.58634780136546
35,150.57027867190845
36,150.55496725237924
37,150.5403594570427
38,150.5264072198801
39,150.51306536069546
40,150.50028806967896
41,150.48804273688938
42,150.47629316736501
43,150.46500817803542
44,150.45416094526098
45,150.44372475127489
46,150.43368257696858
47,150.42400838083606
48,150.41468464416934
49,150.40569469024672
50,150.39702130008195
51,150.3886541148689
52,150.38057443915704
53,150.3727711304274
54,150.3652309615638
55,150.35794717340718
56,150.35090437077073
57,150.34409394172923
58,150.33750910477195
59,150.33113587454457
60,150.32497164928677
61,150.3190024695149
62,150.3132243253853
63,150.30762761788486
64,150.30220967576616
65,150.2969651913472
66,150.29188163333347
67,150.28695622426247
68,150.2821867526834
69,150.2775630737626
70,150.2730830325528
71,150.26874378919234
72,150.26453586778135
73,150.26045747991665
74,150.25650548055646
75,150.25267375664419
76,150.24896249533285
77,150.24536224106473
78,150.24187320961514
79,150.2384923396833
80,150.2352144818783
81,150.2320365266964
82,150.22895763356973
83,150.22597367956877
84,150.2230814914274
85,150.22027929882563
86,150.21756149235222
87,150.21493060640782
88,150.2123824789087
89,150.2099129385398
90,150.2075186997478
91,150.2051998568293
92,150.20295475132642
93,150.2007818129258
94,150.19867852626763
95,150.1966380895646
96,150.19466837076152
97,150.1927581798708
98,150.19091372488035
99,150.1891237939691
100,150.18739708977446
101,150.18572422766195
102,150.1841060805202
103,150.1825462376379
104,150.18103690632205
105,150.1795781350037
106,150.17816919994982
107,150.1768073670818
108,150.1754954705401
109,150.1742256661111
110,150.17300590122483
111,150.17182472838442
112,150.17068934902272
113,150.16959621598676
114,150.1685410294844
115,150.16752742586783
116,150.16654822467
117,150.16561138919587
118,150.164711899375
119,150.16384616718395
120,150.16301492200844
121,150.16221747217537
122,150.16145747513204
123,150.16072698572395
124,150.160026715935
125,150.1593603206204
126,150.158727129187
127,150.158119862048
128,150.15754651904362
129,150.15699843804234
130,150.15647997084145
131,150.15599113035856
132,150.15552758912492
133,150.15509070393196
134,150.15468212909275
135,150.1542995538117
136,150.15394231395274
137,150.15360674381657
138,150.15330086298206
139,150.15301967389607
140,150.15276083474063
141,150.15252669966137
142,150.15231859959277
143,150.15213521586608
144,150.1519735328213
145,150.15183355187176
146,150.15171829885156
147,150.1516254108575
148,150.15155725568692
