x,interface_y
0,156.10130934275253
1,155.54789680687955
2,155.04907764617045
3,154.61672949939452
4,154.2589574481578
5,153.93381755059156
6,153.6570789361487
7,153.42129810913585
8,153.2085812150712
9,153.00800277886796
10,152.82433037085127
11,152.66329895218678
12,152.51793868790577
13,152.3835041119725
14,152.25672055786464
15,152.13526972044724
16,152.01750200659947
17,151.90557005134883
18,151.80358877402344
19,151.70975717590903
20,151.62259877849053
21,151.5409633944135
22,151.46394315559542
23,151.39081321133105
24,151.3210041719386
25,151.25404699065518
26,151.18957151081503
27,151.12727209248536
28,151.06691037216473
29,151.00828744027973
30,150.95209530582588
31,150.8994766690753
32,150.8500663000239
33,150.80353030139355
34,150.7595862406975
35,150.7179910943655
36,150.67853454529936
37,150.64103197136157
38,150.60532342007434
39,150.57127339997623
40,150.53875798095592
41,150.50767092169727
42,150.4779164635826
43,150.44941085685454
44,150.42208031906995
45,150.39585996593857
46,150.37068298366316
47,150.3465008835615
48,150.3232627368026
49,150.300923631641
50,150.2794417243032
51,150.25878438065507
52,150.23891307056707
53,150.2197971116833
54,150.20140752694667
55,150.1837157411331
56,150.16669916923436
57,150.15033116897217
58,150.13459069125668
59,150.11945611348855
60,150.10490467384508
61,150.0909226327388
62,150.0774840514043
63,150.06457914442973
64,150.05218698609906
65,150.04028962586312
66,150.0288782457041
67,150.01792644039082
68,150.00743380448162
69,149.99737598178308
70,149.9877906925119
71,149.9786796450449
72,149.9700157555587
73,149.961781356479
74,149.95395906982492
75,149.94652814203917
76,149.93946798393912
77,149.93277100273983
78,149.92641341164997
79,149.9203804323973
80,149.91466494777552
81,149.90924424972619
82,149.90411192778626
83,149.89925417204347
84,149.894656548613
85,149.89031347743278
86,149.88620399111147
87,149.88232907194904
88,149.87866907965025
89,149.8752217442281
90,149.87197382579868
91,149.86891335208716
92,149.8660418915625
93,149.86333949744372
94,149.86080458620225
95,149.858429282037
96,149.8562082980157
97,149.85412583705235
98,149.85218781496542
99,149.85037482301232
100,149.8486897240496
101,149.8471206234127
102,149.84566671441158
103,149.8443191730351
104,149.84307421291956
105,149.8419230569004
106,149.8408656160943
107,149.83989313486953
108,149.83900190373765
109,149.83818683224644
110,149.83744786382596
111,149.83677335726392
112,149.83616620066323
113,149.83561548831182
114,149.83512339739423
115,149.83468627969367
116,149.83429616499743
117,149.8339530409007
118,149.83365184193306
119,149.83339255535816
120,149.83316795001235
121,149.83297729902117
122,149.83281626427717
123,149.83268484176227
124,149.83258302822853
125,149.83249854851428
126,149.83243934142115
127,149.83239674004878
128,149.83237507636449
129,149.83236280448176
130,149.83236713719984
131,149.8323837418382
132,149.8324090121317
133,149.83243934142115
134,149.83247761038825
135,149.83252021248018
136,149.83257002968003
137,149.8326176910245
138,149.83266823517178
139,149.83271878019508
140,149.83277005069544
141,149.8328205972581
142,149.83286320286672
143,149.83290580884454
144,149.83294769134775
145,149.83298163209597
146,149.83301124004473
147,149.83303290551257
148,149.8330538475871
149,149.8330625138118
150,149.83307045671202
151,149.83307045671202
152,149.8330625138118
153,149.8330538475871
154,149.83303290551257
155,149.83301124004473
156,149.83298163209597
157,149.83294769134775
158,149.83290580884454
159,149.83286320286672
160,149.8328205972581
161,149.83277005069544
162,149.83271878019508
163,149.83266823517178
164,149.8326176910245
165,149.83257002968003
166,149.83252021248018
167,149.83247761038825
168,149.83243934142115
169,149.8324090121317
170,149.8323837418382
171,149.83236713719984
172,149.83236280448176
173,149.83237507636449
174,149.83239674004878
175,149.83243934142115
176,149.83249854851428
177,149.83258302822853
178,149.83268484176227
179,149.83281626427717
180,149.83297729902117
181,149.83316795001235
182,149.83339255535816
183,149.83365184193306
184,149.8339530409007
185,149.83429616499743
186,149.83468627969367
187,149.83512339739423
188,149.83561548831182
189,149.83616620066323
190,149.83677335726392
191,149.83744786382596
192,149.83818683224644
193,149.83900190373765
194,149.83989313486953
195,149.8408656160943
