x,interface_y
0,156.67084082264967
1,156.14578722866133
2,155.62622970805864
3,155.19003150157508
4,154.79173911257752
5,154.46015824808185
6,154.16565009611756
7,153.8890554991874
8,153.6504361320471
9,153.44036609946625
10,153.2467691743664
11,153.061721454831
12,152.88479730774156
13,152.7267738752618
14,152.58309633538352
15,152.44956442195075
16,152.32315061431393
17,152.2016267364956
18,152.0833366417433
19,151.96741754357888
20,151.85933670326406
21,151.75969162805546
22,151.6669347387153
23,151.57983397190293
24,151.49741386271586
25,151.41889712858608
26,151.3436550087093
27,151.27118382135146
28,151.20107753308918
29,151.133002992262
30,151.06669868179895
31,151.00195564821496
32,150.93994576600014
33,150.88183049366535
34,150.82717226848862
35,150.77560322062303
36,150.72681605431447
37,150.6805387751617
38,150.63654744118537
39,150.59464039961262
40,150.55464494782387
41,150.51641866971895
42,150.47982806055185
43,150.4447639526845
44,150.41112714922522
45,150.37882981120364
46,150.3478010910438
47,150.31796709978877
48,150.28926906462513
49,150.2616571979848
50,150.2350783967257
51,150.2094938346124
52,150.18486519210396
53,150.1611530637473
54,150.13832652404136
55,150.11635662095276
56,150.0952118226601
57,150.07487161915807
58,150.05530729703764
59,150.0364958663071
60,150.01841889344718
61,150.00105440179382
62,149.9844690868267
63,149.9687415647803
64,149.95382904255177
65,149.93968641161007
66,149.92627902379016
67,149.91356980007015
68,149.9015237711805
69,149.89011061019082
70,149.87929763654523
71,149.86906477953184
72,149.85937819372626
73,149.85021152025297
74,149.8415476918672
75,149.83336150076053
76,149.8256297700836
77,149.81833633921968
78,149.8114539805456
79,149.8049689333719
80,149.798865254347
81,149.7931263447003
82,149.78773241409027
83,149.78267085827483
84,149.7779241181914
85,149.7734781673478
86,149.76932106967325
87,149.76544138506108
88,149.76182087692538
89,149.7584525916127
90,149.75532408202523
91,149.7524230171607
92,149.74973609454253
93,149.7472586402169
94,149.7449753377654
95,149.74287625590162
96,149.7409568561543
97,149.73920517140127
98,149.73761357791875
99,149.7361711063115
100,149.73487558970095
101,149.73371092678914
102,149.73267475185386
103,149.73175955553842
104,149.73095785736007
105,149.73026301700767
106,149.72966676231385
107,149.72916443618394
108,149.72874779994604
109,149.72841451664704
110,149.72815912302488
111,149.7279710877217
112,149.7278504048609
113,149.7277916227766
114,149.7277873408182
115,149.72783016040216
116,149.72792203343383
117,149.72805556388175
118,149.72822959131238
119,149.7284347647351
120,149.72866875928725
121,149.7289315798264
122,149.72921582650628
123,149.72952034261243
124,149.7298420081116
125,149.73017225872215
126,149.73051850709703
127,149.7308690624063
128,149.73122507635043
129,149.73157996187703
130,149.73193915535433
131,149.73229408967654
132,149.73264476440576
133,149.73298803893346
134,149.73332162319636
135,149.73364780278396
136,149.73396114857627
137,149.73425737483666
138,149.7345419021462
139,149.73480615637746
140,149.73505529679446
141,149.7352852955796
142,149.73549501216962
143,149.7356833101935
144,149.73585018854988
145,149.73599249219006
146,149.73611337281554
147,149.73621282960005
148,149.7362845511035
149,149.7363348460889
150,149.7363594288359
151,149.7363594288359
152,149.7363348460889
153,149.7362845511035
154,149.73621282960005
155,149.73611337281554
156,149.73599249219006
157,149.73585018854988
158,149.7356833101935
159,149.73549501216962
160,149.7352852955796
161,149.73505529679446
162,149.7348050200743
163,149.7345419021462
164,149.73425737483666
165,149.73396114857627
166,149.73364780278396
167,149.73332162319636
168,149.73298803893346
169,149.73264476440576
170,149.73229408967654
171,149.73193915535433
172,149.73157996187703
173,149.73122507635043
174,149.7308690624063
175,149.73051850709703
176,149.73017225872215
177,149.7298420081116
178,149.72952034261243
179,149.72921582650628
180,149.7289315798264
181,149.72866875928725
182,149.7284347647351
183,149.72822959131238
184,149.72805556388175
185,149.72792203343383
186,149.72783016040216
187,149.7277873408182
188,149.7277916227766
189,149.7278504048609
190,149.7279710877217
191,149.72815912302488
192,149.72841451664704
193,149.72874779994604
194,149.72916443618394
195,149.72966676231385
196,149.73026301700767
197,149.73095785736007
198,149.73175955553842
199,149.73267475185386
200,149.73371092678914
201,149.73487558970095
202,149.73617426109166
203,149.73761357791875
204,149.73920517140127
205,149.7409568561543
206,149.74287625590162
207,149.7449753377654
208,149.7472586402169
209,149.74973609454253
210,149.7524230171607
211,149.75532408202523
212,149.7584525916127
213,149.76182087692538
214,149.76544138506108
215,149.76932106967325
216,149.7734781673478
217,149.7779241181914
218,149.78267085827483
219,149.78773241409027
220,149.7931263447003
221,149.798865254347
222,149.8049689333719
223,149.8114539805456
224,149.81833279991696
225,149.8256297700836
226,149.83336150076053
227,149.8415476918672
228,149.85021152025297
229,149.85937819372626
230,149.86906477953184
231,149.87929763654523
232,149.89011061019082
233,149.9015237711805
234,149.91356579460805
235,149.92627902379016
236,149.93968641161007
237,149.95382904255177
238,149.9687415647803
239,149.9844690868267
240,150.00105440179382
241,150.01841889344718
242,150.0364958663071
243,150.05530729703764
244,150.07487161915807
245,150.0952118226601
246,150.11635662095276
247,150.13832652404136
248,150.1611530637473
249,150.18486519210396
250,150.2094938346124
251,150.2350783967257
252,150.2616571979848
253,150.28926906462513
254,150.31796709978877
255,150.3478010910438
256,150.37882981120364
257,150.41112714922522
258,150.4447639526845
259,150.47982806055185
260,150.51641866971895
261,150.55464494782387
262,150.59464039961262
263,150.63654744118537
264,150.6805387751617
265,150.72681605431447
266,150.77560322062303
267,150.82717226848862
268,150.88183049366535
269,150.93994576600014
270,151.00195564821496
271,151.06669868179895
272,151.133002992262
273,151.20107753308918
274,151.27118382135146
275,151.3436550087093
276,151.41889712858608
277,151.49741386271586
278,151.57983397190293
279,151.6669347387153
280,151.75969162805546
281,151.85933670326406
282,151.96741754357888
283,152.0833366417433
284,152.2016267364956
285,152.32315061431393
286,152.44956442195075
287,152.58309633538352
288,152.7267738752618
289,152.88479730774156
290,153.061721454831
291,153.2467691743664
292,153.44036609946625
293,153.6504361320471
294,153.8890554991874
295,154.16565009611756
296,154.46015824808185
297,154.79173911257752
298,155.19003150157508
299,155.62622970805864
300,156.14578722866133
301,156.67084082264967
