x,interface_y
0,155.41559693017174
1,154.87291567297115
2,154.373326144036
3,153.9301814933233
4,153.55837440630881
5,153.24538436767625
6,152.96156153154053
7,152.7197489308991
8,152.5181305815844
9,152.34290338591683
10,152.1857215225252
11,152.04137142144992
12,151.90953584042117
13,151.79515450016692
14,151.69444015576485
15,151.60427107838123
16,151.52240766004104
17,151.44720077179053
18,151.37742294079314
19,151.31213976637193
20,151.2506350659566
21,151.19235859992733
22,151.1368699872353
23,151.08382436882547
24,151.0329413431567
25,150.98409843781917
26,150.9382607278318
27,150.8954343013641
28,150.85530006828137
29,150.8175732688305
30,150.78202161989825
31,150.74844495194267
32,150.7166725154708
33,150.68655047148266
34,150.65795235742158
35,150.63075771558343
36,150.60486559722062
37,150.58018677789045
38,150.55663629386848
39,150.53413998431904
40,150.51263082072794
41,150.49204936890675
42,150.47233557496324
43,150.45344031739168
44,150.43531856249336
45,150.41792602523526
46,150.40122518636758
47,150.38517517810942
48,150.36974822070866
49,150.3549085771913
50,150.34063186766383
51,150.32688905467336
52,150.31365880510526
53,150.3009141002093
54,150.28863898747167
55,150.2768123138034
56,150.2654128959276
57,150.25442784405067
58,150.24383792232777
59,150.23362923159593
60,150.22378483055405
61,150.21429648425215
62,150.20514921511128
63,150.19632611651951
64,150.1878225018799
65,150.17961895862535
66,150.17171599068084
67,150.16409396118618
68,150.1567446542627
69,150.14966361626628
70,150.1428366481904
71,150.1362554446915
72,150.12991554988392
73,150.12380557977332
74,150.11791833368963
75,150.11224935373437
76,150.1067874608315
77,150.10153212297223
78,150.09646849749188
79,150.0915920520054
80,150.08689877080081
81,150.08238540400873
82,150.0780398078966
83,150.0738619141543
84,150.06984390728505
85,150.06597814803737
86,150.06226425889818
87,150.0586942640097
88,150.0552644913966
89,150.05197095481418
90,150.04880501812985
91,150.0457672973462
92,150.04285373651024
93,150.0400556635448
94,150.03736950506953
95,150.03479502814466
96,150.03232812963103
97,150.02996065727575
98,150.02769685754004
99,150.02552405585794
100,150.02344663807466
101,150.02145595567868
102,150.01955237909448
103,150.0177314558155
104,150.01599336308706
105,150.01432514711234
106,150.01273565851213
107,150.01122048904816
108,150.00976669198278
109,150.00838308988165
110,150.0070653164062
111,150.0058090954345
112,150.00461005676993
113,150.00346383868026
114,150.0023793534385
115,150.0013433685634
116,150.00036037158316
117,149.99942607233268
118,149.9985365029092
119,149.99769611898344
120,149.99689599815005
121,149.9961405412135
122,149.9954208382978
123,149.99474573257467
124,149.99410629994756
125,149.99349809564865
126,149.9929299572509
127,149.9923930044078
128,149.99188718477313
129,149.99141255286634
130,149.99096457794718
131,149.99054772554646
132,149.9901575415173
133,149.9897939696484
134,149.98945269478097
135,149.9891379647228
136,149.98884552022415
137,149.98857959868747
138,149.9883314610982
