x,interface_y
0,157.2230050193543
1,156.42782118078145
2,155.7432391961906
3,155.19974686122467
4,154.7341011261992
5,154.36123254511625
6,154.03254567510598
7,153.7415762218912
8,153.49716525146962
9,153.27884951881015
10,153.07410701118553
11,152.88037426196567
12,152.7097517454048
13,152.55648117579972
14,152.41532779791436
15,152.2826532417054
16,152.1558834326871
17,152.03316217563093
18,151.91579805996471
19,151.80902417530896
20,151.7110795222737
21,151.62030689424222
22,151.53541388489637
23,151.4553899394599
24,151.3794384717979
25,151.30692488765249
26,151.23734426610739
27,151.17029328287606
28,151.10544983229263
29,151.04255102717764
30,150.98151355287933
31,150.92396747996077
32,150.87010155538016
33,150.81950332344599
34,150.77182860882445
35,150.72678457404638
36,150.6841183904905
37,150.64360587894683
38,150.60506715273263
39,150.56833610535963
40,150.53327143692925
41,150.49974994278352
42,150.46766084796488
43,150.4369069987403
44,150.407407250173
45,150.37908638417431
46,150.3518764473505
47,150.32571457811855
48,150.3005498566613
49,150.27633212600716
50,150.25301856190305
51,150.23056907911715
52,150.2089431910775
53,150.18811371965978
54,150.16804239406898
55,150.14870694336443
56,150.1300753517139
57,150.11212426906332
58,150.09483068139028
59,150.07817356489366
60,150.06213192249794
61,150.04668414177786
62,150.03181007746792
63,150.01749748293497
64,150.0037216209727
65,149.99050749583566
66,149.97791132620682
67,149.96591527245226
68,149.95448867623887
69,149.94359805796157
70,149.9332277785108
71,149.92334984367864
72,149.91394209900955
73,149.90497894063975
74,149.8964508554763
75,149.88832505043976
76,149.88059760087242
77,149.87324072540937
78,149.8662429808906
79,149.85958564545027
80,149.85325784698807
81,149.84724519520887
82,149.84153287552977
83,149.83610835367097
84,149.830957300723
85,149.8260726515522
86,149.82143892424642
87,149.8170465404889
88,149.81288518553734
89,149.80894619754207
90,149.80521757152357
91,149.8016926987799
92,149.7983640646436
93,149.7952182369405
94,149.79225045481587
95,149.78945258966203
96,149.78681906698606
97,149.78433509206417
98,149.7820028677601
99,149.7798101551906
100,149.77775243276278
101,149.77582423256655
102,149.77401633067464
103,149.7723247121369
104,149.77074355997075
105,149.76927079078288
106,149.7678953749323
107,149.76661622978585
108,149.76542567823128
109,149.76432264247435
110,149.76330048943566
111,149.76235284007905
112,149.7614784136654
113,149.76067307609694
114,149.75993230269628
115,149.75925297551296
116,149.75862957570448
117,149.75806001365703
118,149.7575442649844
119,149.75707151169533
120,149.75664395120253
121,149.75625831937825
122,149.75591136071859
123,149.755600972066
124,149.7553206562107
125,149.75507365221387
126,149.75485242030697
127,149.75465914506137
128,149.75448734185366
129,149.7543402479651
130,149.75421138490597
131,149.7540986421571
132,149.75400525448177
133,149.75392256607725
134,149.7538559942305
135,149.75380124490235
136,149.75375508154076
137,149.75371750403517
138,149.753688512275
139,149.75366381345674
140,149.75364664268483
141,149.7536337646059
142,149.75362517921994
143,149.75361765147775
144,149.7536133588032
145,149.753612301141
146,149.75360906612866
147,149.75360906612866
148,149.75360906612866
149,149.75360906612866
150,149.75360906612866
151,149.75360906612866
152,149.75360906612866
153,149.75360906612866
154,149.75360906612866
155,149.75360906612866
156,149.753612301141
157,149.7536133588032
158,149.75361765147775
159,149.75362517921994
160,149.7536337646059
161,149.75364664268483
162,149.75366381345674
163,149.753688512275
164,149.75371750403517
165,149.75375508154076
166,149.75380124490235
167,149.7538559942305
168,149.75392256607725
169,149.75400525448177
170,149.7540986421571
171,149.75421138490597
172,149.7543402479651
173,149.75448734185366
174,149.75465914506137
175,149.75485242030697
176,149.75507365221387
177,149.7553206562107
178,149.755600972066
179,149.75591136071859
180,149.75625831937825
181,149.75664395120253
182,149.75707151169533
183,149.7575442649844
184,149.75806001365703
185,149.75862957570448
186,149.75925297551296
187,149.75993230269628
188,149.76067307609694
189,149.7614784136654
190,149.76235284007905
191,149.76330048943566
192,149.76432264247435
193,149.76542567823128
194,149.76661622978585
195,149.7678953749323
196,149.76927079078288
197,149.77074355997075
198,149.7723247121369
199,149.77401633067464
200,149.77582423256655
201,149.77775243276278
202,149.7798101551906
203,149.7820028677601
204,149.78433509206417
205,149.78681906698606
206,149.78945258966203
207,149.79225045481587
208,149.7952182369405
209,149.7983640646436
210,149.8016926987799
211,149.80521757152357
212,149.80894619754207
213,149.81288518553734
214,149.8170465404889
215,149.82143892424642
216,149.8260726515522
217,149.830957300723
218,149.83610835367097
219,149.84153287552977
220,149.84724519520887
221,149.85325784698807
222,149.85958564545027
223,149.8662429808906
224,149.87324072540937
225,149.88059760087242
226,149.88832505043976
227,149.8964508554763
228,149.90497894063975
229,149.91394209900955
230,149.92334984367864
231,149.9332277785108
232,149.94359805796157
233,149.95448867623887
234,149.96591527245226
235,149.97791132620682
236,149.99050749583566
237,150.0037216209727
238,150.01749748293497
239,150.03181007746792
240,150.0466799348652
241,150.06213192249794
242,150.07817356489366
243,150.09483068139028
244,150.11212426906332
245,150.1300753517139
246,150.14870694336443
247,150.16804239406898
248,150.18811371965978
249,150.2089431910775
250,150.23056907911715
251,150.25301856190305
252,150.27633212600716
253,150.3005498566613
254,150.32571457811855
255,150.3518764473505
256,150.37908638417431
257,150.407407250173
258,150.4369069987403
259,150.46766084796488
260,150.49974994278352
261,150.53327143692925
262,150.56833610535963
263,150.60506715273263
264,150.64360587894683
265,150.6841183904905
266,150.72678457404638
267,150.77182860882445
268,150.81950332344599
269,150.87010155538016
270,150.92396747996077
271,150.98151355287933
272,151.04255102717764
273,151.10544983229263
274,151.17029328287606
275,151.23734426610739
276,151.30692488765249
277,151.3794384717979
278,151.4553899394599
279,151.53541388489637
280,151.62030689424222
281,151.7110795222737
282,151.80902417530896
283,151.91579805996471
284,152.03316217563093
285,152.1558834326871
286,152.2826532417054
287,152.41532779791436
288,152.55648117579972
289,152.7097517454048
290,152.88037426196567
291,153.07410701118553
292,153.27884951881015
293,153.49716525146962
294,153.7415762218912
295,154.03254567510598
296,154.36123254511625
297,154.7341011261992
298,155.19974686122467
299,155.7432391961906
300,156.42782118078145
301,157.2230050193543
