iteration	ph_iter	max_eps															
0	17	5,10E-06															
1	1	2,55E-06															
2	1	1,28E-06															
3	1	6,50E-07															
4	1	3,72E-07															
5	1	1,86E-07														G	1
6	1	1,70E-07														L	0
7	1	7,34E-08														phi	-1
8	1	1,23E-07															
9	1	9,92E-08															
10	1	1,14E-07															
11	1	1,07E-07															
12	1	1,09E-07															
13	1	1,06E-07															
14	1	1,05E-07															
15	1	1,04E-07															
16	1	1,02E-07															
17	1	1,01E-07															
18	1	9,90E-08															
19	1	9,77E-08															
20	1	9,66E-08															
21	1	9,90E-08															
22	1	1,02E-07															
23	1	1,04E-07															
24	1	1,06E-07															
25	1	1,06E-07															
26	1	1,06E-07															
27	1	1,06E-07															
28	1	1,05E-07															
29	1	1,03E-07															
30	1	1,01E-07															
31	1	9,87E-08															
32	1	9,59E-08															
33	1	9,29E-08															
34	1	9,41E-08															
35	1	9,55E-08															
36	1	9,69E-08															
37	1	9,77E-08															
38	1	9,81E-08															
39	1	9,83E-08															
40	1	9,81E-08															
41	1	9,75E-08															
42	1	9,67E-08															
43	1	9,54E-08															
44	1	9,40E-08															
45	1	9,22E-08															
46	1	9,03E-08															
47	1	8,82E-08															
48	1	8,59E-08															
49	1	8,35E-08															
50	1	8,09E-08															
51	1	7,84E-08															
52	1	7,57E-08															
53	1	7,31E-08															
54	1	7,04E-08															
55	1	6,77E-08															
56	1	6,51E-08															
57	1	6,26E-08															
58	1	6,05E-08															
59	1	5,84E-08															
60	1	5,64E-08															
61	1	5,44E-08															
62	1	5,26E-08															
63	1	5,12E-08															
64	1	5,25E-08															
65	1	5,41E-08															
66	1	5,57E-08															
67	1	5,71E-08															
68	1	5,85E-08															
69	1	5,97E-08															
70	1	6,12E-08															
71	1	6,25E-08															
72	1	6,38E-08															
73	1	6,50E-08															
74	1	6,61E-08															
75	1	6,71E-08															
76	1	6,80E-08															
77	1	6,88E-08															
78	1	6,95E-08															
79	1	7,02E-08															
80	1	7,08E-08															
81	1	7,13E-08															
82	1	7,18E-08															
83	1	7,22E-08															
84	1	7,25E-08															
85	1	7,28E-08															
86	1	7,30E-08															
87	1	7,32E-08															
88	1	7,33E-08															
89	1	7,35E-08															
90	1	7,36E-08															
91	1	7,37E-08															
92	1	7,38E-08															
93	1	7,38E-08															
94	1	7,37E-08															
95	1	7,37E-08															
96	1	7,38E-08															
97	1	7,46E-08															
98	1	7,53E-08															
99	1	7,60E-08															
100	1	7,67E-08															
101	1	7,73E-08															
102	1	7,80E-08															
103	1	7,86E-08															
104	1	7,92E-08															
105	1	7,98E-08															
106	1	8,04E-08															
107	1	8,09E-08															
108	1	8,14E-08															
109	1	8,19E-08															
110	1	8,24E-08															
111	1	8,28E-08															
112	1	8,32E-08															
113	1	8,36E-08															
114	1	8,40E-08															
115	1	8,43E-08															
116	1	8,47E-08															
117	1	8,50E-08															
118	1	8,53E-08															
119	1	8,55E-08															
120	1	8,58E-08															
121	1	8,60E-08															
122	1	8,62E-08															
123	1	8,64E-08															
124	1	8,66E-08															
125	1	8,67E-08															
126	1	8,69E-08															
127	1	8,70E-08															
128	1	8,71E-08															
129	1	8,71E-08															
130	1	8,72E-08															
131	1	8,73E-08															
132	1	8,73E-08															
133	1	8,73E-08															
134	1	8,73E-08															
135	1	8,73E-08															
136	1	8,73E-08															
137	1	8,72E-08															
138	1	8,72E-08															
139	1	8,71E-08															
140	1	8,70E-08															
141	1	8,69E-08															
142	1	8,68E-08															
143	1	8,67E-08															
144	1	8,66E-08															
145	1	8,65E-08															
146	1	8,63E-08															
147	1	8,62E-08															
148	1	8,61E-08															
149	1	8,59E-08															
150	1	8,57E-08															
151	1	8,55E-08															
152	1	8,54E-08															
153	1	8,52E-08															
154	1	8,50E-08															
155	1	8,48E-08															
156	1	8,46E-08															
157	1	8,43E-08															
158	1	8,41E-08															
159	1	8,39E-08															
160	1	8,37E-08															
161	1	8,34E-08															
162	1	8,32E-08															
163	1	8,29E-08															
164	1	8,27E-08															
165	1	8,24E-08															
166	1	8,22E-08															
167	1	8,19E-08															
168	1	8,16E-08															
169	1	8,14E-08															
170	1	8,11E-08															
171	1	8,08E-08															
172	1	8,05E-08															
173	1	8,03E-08															
174	1	8,00E-08															
175	1	7,97E-08															
176	1	7,94E-08															
177	1	7,91E-08															
178	1	7,89E-08															
179	1	7,86E-08															
180	1	7,83E-08															
181	1	7,80E-08															
182	1	7,77E-08															
183	1	7,74E-08															
184	1	7,71E-08															
185	1	7,68E-08															
186	1	7,65E-08															
187	1	7,62E-08															
188	1	7,59E-08															
189	1	7,56E-08															
190	1	7,54E-08															
191	1	7,51E-08															
192	1	7,48E-08															
193	1	7,45E-08															
194	1	7,42E-08															
195	1	7,39E-08															
196	1	7,36E-08															
197	1	7,33E-08															
198	1	7,30E-08															
199	1	7,28E-08															
200	1	7,25E-08															
201	1	7,22E-08															
202	1	7,19E-08															
203	1	7,16E-08															
204	1	7,14E-08															
205	1	7,11E-08															
206	1	7,08E-08															
207	1	7,05E-08															
208	1	7,03E-08															
209	1	7,00E-08															
210	1	6,97E-08															
211	1	6,94E-08															
212	1	6,92E-08															
213	1	6,89E-08															
214	1	6,86E-08															
215	1	6,84E-08															
216	1	6,81E-08															
217	1	6,79E-08															
218	1	6,76E-08															
219	1	6,74E-08															
220	1	6,71E-08															
221	1	6,69E-08															
222	1	6,67E-08															
223	1	6,64E-08															
224	1	6,62E-08															
225	1	6,59E-08															
226	1	6,57E-08															
227	1	6,55E-08															
228	1	6,52E-08															
229	1	6,50E-08															
230	1	6,49E-08															
231	1	6,47E-08															
232	1	6,45E-08															
233	1	6,43E-08															
234	1	6,41E-08															
235	1	6,39E-08															
236	1	6,37E-08															
237	1	6,35E-08															
238	1	6,34E-08															
239	1	6,32E-08															
240	1	6,30E-08															
241	1	6,28E-08															
242	1	6,26E-08															
243	1	6,24E-08															
244	1	6,23E-08															
245	1	6,21E-08															
246	1	6,19E-08															
247	1	6,18E-08															
248	1	6,16E-08															
249	1	6,14E-08															
250	1	6,13E-08															
251	1	6,11E-08															
252	1	6,09E-08															
253	1	6,08E-08															
254	1	6,06E-08															
255	1	6,04E-08															
256	1	6,03E-08															
257	1	6,01E-08															
258	1	6,00E-08															
259	1	5,98E-08															
260	1	5,97E-08															
261	1	5,95E-08															
262	1	5,94E-08															
263	1	5,92E-08															
264	1	5,91E-08															
265	1	5,89E-08															
266	1	5,88E-08															
267	1	5,86E-08															
268	1	5,85E-08															
269	1	5,84E-08															
270	1	5,82E-08															
271	1	5,81E-08															
272	1	5,80E-08															
273	1	5,78E-08															
274	1	5,77E-08															
275	1	5,76E-08															
276	1	5,74E-08															
277	1	5,73E-08															
278	1	5,72E-08															
279	1	5,70E-08															
280	1	5,69E-08															
281	1	5,68E-08															
282	1	5,67E-08															
283	1	5,66E-08															
284	1	5,64E-08															
285	1	5,63E-08															
286	1	5,62E-08															
287	1	5,61E-08															
288	1	5,60E-08															
289	1	5,59E-08															
290	1	5,57E-08															
291	1	5,56E-08															
292	1	5,55E-08															
293	1	5,54E-08															
294	1	5,53E-08															
295	1	5,52E-08															
296	1	5,51E-08															
297	1	5,50E-08															
298	1	5,90E-08															
299	1	6,36E-08															
300	1	6,85E-08															
301	1	7,37E-08															
302	1	7,93E-08															
303	1	8,54E-08															
304	1	9,18E-08															
305	1	9,88E-08															
306	1	1,06E-07															
307	1	1,14E-07															
308	1	1,23E-07															
309	1	1,34E-07															
310	1	1,46E-07															
311	1	1,58E-07															
312	1	1,72E-07															
313	1	1,87E-07															
314	1	2,03E-07															
315	1	2,20E-07															
316	1	2,39E-07															
317	1	2,60E-07															
318	1	2,82E-07															
319	1	3,07E-07															
320	1	3,33E-07															
321	1	3,63E-07															
322	1	3,95E-07															
323	1	4,30E-07															
324	1	4,68E-07															
325	1	5,10E-07															
326	1	5,57E-07															
327	1	6,08E-07															
328	1	6,65E-07															
329	1	7,27E-07															
330	1	7,96E-07															
331	1	8,72E-07															
332	1	9,56E-07															
333	1	1,05E-06															
334	1	1,15E-06															
335	1	1,27E-06															
336	1	1,40E-06															
337	1	1,54E-06															
338	1	1,70E-06															
339	1	1,87E-06															
340	1	2,07E-06															
341	1	2,29E-06															
342	1	2,54E-06															
343	1	2,81E-06															
344	1	3,12E-06															
345	1	3,46E-06															
346	1	3,84E-06															
347	1	4,27E-06															
348	1	4,74E-06															
349	1	5,27E-06															
350	1	5,85E-06															
351	1	6,49E-06															
352	1	7,21E-06															
353	1	7,99E-06															
354	1	8,84E-06															
355	1	9,77E-06															
356	2	9,51E-06															
357	2	9,95E-06															
358	4	9,86E-06															
359	4	9,74E-06															
