iteration;ph_iter;max_eps
88;1;7.333485e-08
89;1;7.350531e-08
90;1;7.363592e-08
91;1;7.372638e-08
92;1;7.376797e-08
93;1;7.377456e-08
94;1;7.373739e-08
95;1;7.367053e-08
96;1;7.383566e-08
97;1;7.458291e-08
98;1;7.530170e-08
99;1;7.599433e-08
100;1;7.666159e-08
101;1;7.734236e-08
102;1;7.800022e-08
103;1;7.862772e-08
104;1;7.923102e-08
105;1;7.980441e-08
106;1;8.035412e-08
107;1;8.087880e-08
108;1;8.139776e-08
109;1;8.188777e-08
110;1;8.235666e-08
111;1;8.280339e-08
112;1;8.322403e-08
113;1;8.362131e-08
114;1;8.399344e-08
115;1;8.434308e-08
116;1;8.466851e-08
117;1;8.497654e-08
118;1;8.526727e-08
119;1;8.553722e-08
120;1;8.578486e-08
121;1;8.601267e-08
122;1;8.621921e-08
123;1;8.640691e-08
124;1;8.657440e-08
125;1;8.672401e-08
126;1;8.685442e-08
127;1;8.696789e-08
128;1;8.706320e-08
129;1;8.714251e-08
130;1;8.720464e-08
131;1;8.725167e-08
132;1;8.728248e-08
133;1;8.729909e-08
134;1;8.730043e-08
135;1;8.728842e-08
136;1;8.726205e-08
137;1;8.722314e-08
138;1;8.717074e-08
139;1;8.710663e-08
140;1;8.702988e-08
141;1;8.694217e-08
142;1;8.684263e-08
143;1;8.673287e-08
144;1;8.661208e-08
145;1;8.648211e-08
146;1;8.634726e-08
147;1;8.620374e-08
148;1;8.605080e-08
149;1;8.588982e-08
150;1;8.572011e-08
151;1;8.554296e-08
152;1;8.535772e-08
153;1;8.516563e-08
154;1;8.496988e-08
155;1;8.476555e-08
156;1;8.455737e-08
157;1;8.434068e-08
158;1;8.412064e-08
159;1;8.389265e-08
160;1;8.366178e-08
161;1;8.342349e-08
162;1;8.318276e-08
163;1;8.293510e-08
164;1;8.268543e-08
165;1;8.242931e-08
166;1;8.217158e-08
167;1;8.190783e-08
168;1;8.164285e-08
169;1;8.137229e-08
170;1;8.110084e-08
171;1;8.082422e-08
172;1;8.054703e-08
173;1;8.026505e-08
174;1;7.998283e-08
175;1;7.969734e-08
176;1;7.941822e-08
177;1;7.913504e-08
178;1;7.885220e-08
179;1;7.856560e-08
180;1;7.827959e-08
181;1;7.799011e-08
182;1;7.770143e-08
183;1;7.740955e-08
184;1;7.711868e-08
185;1;7.682488e-08
186;1;7.653227e-08
187;1;7.623698e-08
188;1;7.594305e-08
189;1;7.564667e-08
190;1;7.535182e-08
191;1;7.505474e-08
192;1;7.476243e-08
193;1;7.447322e-08
194;1;7.418401e-08
195;1;7.389505e-08
196;1;7.360858e-08
197;1;7.332734e-08
198;1;7.304635e-08
199;1;7.276580e-08
200;1;7.248562e-08
201;1;7.220599e-08
202;1;7.192686e-08
203;1;7.164836e-08
204;1;7.137047e-08
205;1;7.109330e-08
206;1;7.081683e-08
207;1;7.054117e-08
208;1;7.026631e-08
209;1;6.999232e-08
210;1;6.971923e-08
211;1;6.944708e-08
212;1;6.917609e-08
213;1;6.891228e-08
214;1;6.864942e-08
215;1;6.839514e-08
216;1;6.814418e-08
217;1;6.789274e-08
218;1;6.764401e-08
219;1;6.739485e-08
220;1;6.714839e-08
221;1;6.690157e-08
222;1;6.665745e-08
223;1;6.641302e-08
224;1;6.617310e-08
225;1;6.593682e-08
226;1;6.570314e-08
227;1;6.546912e-08
228;1;6.524280e-08
229;1;6.504069e-08
230;1;6.485095e-08
231;1;6.466230e-08
232;1;6.447394e-08
233;1;6.428568e-08
234;1;6.409774e-08
235;1;6.390993e-08
236;1;6.372367e-08
237;1;6.353995e-08
238;1;6.335658e-08
239;1;6.317331e-08
240;1;6.299043e-08
241;1;6.280767e-08
242;1;6.262531e-08
243;1;6.244561e-08
244;1;6.226712e-08
245;1;6.209562e-08
246;1;6.192658e-08
247;1;6.175854e-08
248;1;6.159298e-08
249;1;6.142656e-08
250;1;6.126168e-08
251;1;6.109597e-08
252;1;6.093177e-08
253;1;6.076737e-08
254;1;6.060633e-08
255;1;6.044450e-08
256;1;6.028414e-08
257;1;6.012300e-08
258;1;5.996924e-08
259;1;5.981938e-08
260;1;5.967013e-08
261;1;5.952110e-08
262;1;5.937333e-08
263;1;5.922668e-08
264;1;5.908065e-08
265;1;5.893481e-08
266;1;5.878957e-08
267;1;5.864453e-08
268;1;5.850007e-08
269;1;5.835994e-08
270;1;5.822616e-08
271;1;5.809189e-08
272;1;5.795904e-08
273;1;5.782569e-08
274;1;5.769413e-08
275;1;5.756221e-08
276;1;5.743164e-08
277;1;5.730061e-08
278;1;5.717091e-08
279;1;5.704790e-08
280;1;5.692630e-08
281;1;5.680529e-08
282;1;5.668515e-08
283;1;5.656510e-08
284;1;5.644579e-08
285;1;5.632658e-08
286;1;5.620811e-08
287;1;5.609018e-08
288;1;5.597327e-08
289;1;5.585919e-08
290;1;5.574854e-08
291;1;5.563826e-08
292;1;5.552914e-08
293;1;5.541972e-08
294;1;5.531145e-08
295;1;5.520289e-08
296;1;5.509548e-08
297;1;5.498778e-08
298;1;5.899611e-08
299;1;6.356685e-08
300;1;6.845923e-08
301;1;7.370386e-08
302;1;7.932615e-08
303;1;8.536223e-08
304;1;9.184345e-08
305;1;9.881273e-08
306;1;1.063088e-07
307;1;1.143829e-07
308;1;1.233942e-07
309;1;1.341303e-07
310;1;1.457367e-07
311;1;1.583021e-07
312;1;1.719111e-07
313;1;1.866712e-07
314;1;2.026878e-07
315;1;2.200925e-07
316;1;2.390169e-07
317;1;2.596227e-07
318;1;2.820747e-07
319;1;3.065727e-07
320;1;3.333238e-07
321;1;3.625762e-07
322;1;3.945909e-07
323;1;4.296777e-07
324;1;4.681665e-07
325;1;5.104458e-07
326;1;5.569334e-07
327;1;6.081187e-07
328;1;6.645323e-07
329;1;7.267923e-07
330;1;7.955738e-07
331;1;8.716593e-07
332;1;9.559084e-07
333;1;1.049313e-06
334;1;1.152966e-06
335;1;1.268125e-06
336;1;1.396178e-06
337;1;1.538712e-06
338;1;1.697482e-06
339;1;1.874480e-06
340;1;2.071905e-06
341;1;2.292234e-06
342;1;2.538187e-06
343;1;2.812797e-06
344;1;3.119360e-06
345;1;3.461502e-06
346;1;3.843100e-06
347;1;4.268331e-06
348;1;4.741559e-06
349;1;5.267333e-06
350;1;5.850220e-06
351;1;6.494743e-06
352;1;7.205124e-06
353;1;7.985147e-06
354;1;8.837799e-06
355;1;9.765050e-06
356;2;9.506990e-06
357;2;9.946630e-06
358;4;9.863195e-06
359;4;9.739391e-06
360;4;9.545805e-06
361;2;9.866604e-06
362;4;9.657348e-06
363;2;9.998311e-06
364;4;9.798028e-06
365;4;9.621979e-06
366;3;9.796363e-06
367;3;9.674319e-06
368;3;9.751446e-06
369;3;9.784965e-06
370;3;9.827933e-06
371;3;9.868083e-06
372;3;9.894204e-06
373;3;9.907995e-06
374;5;9.714766e-06
375;5;9.970424e-06
376;6;9.869716e-06
377;6;9.742534e-06
378;4;9.976700e-06
379;6;9.815663e-06
380;5;9.917396e-06
381;5;9.889497e-06
382;5;9.857984e-06
383;5;9.764668e-06
384;4;9.944691e-06
385;5;9.628306e-06
386;3;9.935311e-06
387;5;9.577834e-06
388;3;9.954552e-06
389;4;9.933978e-06
390;3;9.705474e-06
391;4;9.877781e-06
392;5;9.936677e-06
393;5;9.852492e-06
394;4;9.950499e-06
395;4;9.888566e-06
396;4;9.690415e-06
397;2;9.853628e-06
398;3;9.696975e-06
399;2;9.648806e-06
400;2;9.622274e-06
401;2;9.346820e-06
402;2;9.796995e-06
403;3;9.038256e-06
404;1;9.871150e-06
405;5;9.499129e-06
406;3;9.314529e-06
407;3;9.230103e-06
408;3;9.356024e-06
409;2;9.911867e-06
410;4;9.788809e-06
411;3;9.845978e-06
412;3;9.754191e-06
413;3;9.409306e-06
414;1;9.833342e-06
415;1;9.657095e-06
416;2;9.660236e-06
417;3;9.882531e-06
418;3;9.827292e-06
419;3;9.846743e-06
420;3;9.819183e-06
421;3;9.701926e-06
422;3;9.509824e-06
423;2;9.795434e-06
424;3;9.403589e-06
425;2;9.502029e-06
426;1;9.980364e-06
427;2;9.631693e-06
428;1;9.421036e-06
429;1;9.524608e-06
430;2;9.761040e-06
431;3;9.057467e-06
432;2;9.713348e-06
433;3;9.375746e-06
434;3;8.985164e-06
435;3;8.919685e-06
436;2;9.807699e-06
437;3;9.010739e-06
438;2;9.981729e-06
439;3;8.823167e-06
440;1;9.440978e-06
441;2;9.247019e-06
442;2;9.837979e-06
443;2;9.466346e-06
444;2;9.000903e-06
445;2;8.722728e-06
446;1;9.961176e-06
447;2;9.525340e-06
448;3;9.949277e-06
449;5;9.893741e-06
450;5;9.796217e-06
451;4;9.936056e-06
452;4;9.981965e-06
453;4;9.928521e-06
454;4;9.826608e-06
455;4;9.607504e-06
456;3;9.721088e-06
457;3;9.388041e-06
458;2;9.888130e-06
459;3;9.135964e-06
460;2;9.884826e-06
461;3;8.977618e-06
462;2;9.588073e-06
463;2;9.912310e-06
464;3;9.661354e-06
465;2;9.990114e-06
466;4;9.758412e-06
467;3;9.897879e-06
468;3;9.949199e-06
469;3;9.864524e-06
470;3;9.658046e-06
471;2;9.999846e-06
472;3;9.457189e-06
473;3;9.422892e-06
474;3;9.339796e-06
475;2;9.895066e-06
476;3;9.226291e-06
477;2;9.818175e-06
478;3;8.968517e-06
479;2;9.522207e-06
480;2;9.786783e-06
481;2;9.872602e-06
482;2;9.943477e-06
483;2;9.859109e-06
484;2;9.937469e-06
485;6;9.680812e-06
486;6;9.800774e-06
487;6;9.860150e-06
488;6;9.821349e-06
489;5;9.899815e-06
490;4;9.867016e-06
491;4;9.775798e-06
492;3;9.943872e-06
493;4;9.694975e-06
494;2;9.884149e-06
495;3;9.868106e-06
496;2;9.767246e-06
497;2;9.643853e-06
498;4;9.769142e-06
499;6;9.500044e-06
500;2;9.827068e-06
501;6;9.767349e-06
502;2;9.931490e-06
503;6;9.654205e-06
504;2;9.622586e-06
505;4;9.908719e-06
506;2;9.668220e-06
507;4;9.922842e-06
508;2;9.647341e-06
509;4;9.749531e-06
510;2;9.880272e-06
511;6;9.993410e-06
512;8;9.725141e-06
513;7;9.837587e-06
514;7;9.759076e-06
515;6;9.861616e-06
516;6;9.854100e-06
517;6;9.847107e-06
518;6;9.820859e-06
519;6;9.759831e-06
520;6;9.644178e-06
521;4;9.951741e-06
522;5;9.929633e-06
523;4;9.961336e-06
524;4;9.996891e-06
525;4;9.957826e-06
526;4;9.937602e-06
527;5;9.977547e-06
528;5;9.890826e-06
529;4;9.923831e-06
530;4;9.969588e-06
531;4;9.904013e-06
532;4;9.709889e-06
533;3;9.799354e-06
534;3;9.674321e-06
535;3;9.274530e-06
536;3;8.793668e-06
537;2;9.514808e-06
538;2;9.521543e-06
539;2;9.277622e-06
540;2;9.619697e-06
541;4;9.425234e-06
542;4;9.362841e-06
543;2;9.997175e-06
544;5;9.967208e-06
545;4;9.753313e-06
546;4;9.786163e-06
547;4;9.792865e-06
548;4;9.775980e-06
549;4;9.757201e-06
550;4;9.724502e-06
551;4;9.696580e-06
552;4;9.655029e-06
553;4;9.594929e-06
554;2;9.986418e-06
555;5;9.630154e-06
556;2;9.855152e-06
557;4;9.943439e-06
558;4;9.660926e-06
559;2;9.594228e-06
560;4;9.477396e-06
561;2;9.362247e-06
562;2;9.799188e-06
563;2;9.850260e-06
564;3;9.622928e-06
565;2;9.248875e-06
566;2;9.443820e-06
567;2;9.551074e-06
568;2;9.693933e-06
569;2;9.757807e-06
570;2;9.790181e-06
571;2;9.922437e-06
572;4;9.623540e-06
573;2;9.589914e-06
574;2;9.948085e-06
575;6;9.861745e-06
576;4;9.379700e-06
577;2;9.620206e-06
578;2;9.955870e-06
579;4;9.994513e-06
580;4;9.529916e-06
581;2;9.666788e-06
582;2;9.793726e-06
583;4;9.482711e-06
584;2;9.303444e-06
585;2;9.006762e-06
586;2;8.803768e-06
587;2;8.900542e-06
588;2;8.907787e-06
589;2;8.876580e-06
590;2;8.740717e-06
591;2;9.068525e-06
592;2;9.410495e-06
593;2;9.701714e-06
594;4;9.718599e-06
595;4;9.786303e-06
596;4;9.732770e-06
597;2;9.919743e-06
598;4;9.828985e-06
599;2;9.902259e-06
600;4;9.780455e-06
601;2;9.842137e-06
602;4;9.727360e-06
603;2;9.737236e-06
604;4;9.618586e-06
605;2;9.484293e-06
606;2;9.609468e-06
607;2;9.676579e-06
608;2;9.811440e-06
609;4;9.738176e-06
610;2;9.705890e-06
611;4;9.601110e-06
612;2;9.967408e-06
613;4;9.498592e-06
614;2;9.364953e-06
615;2;9.076744e-06
616;2;9.259877e-06
617;2;9.458421e-06
618;6;9.743682e-06
619;6;9.779836e-06
620;5;9.943625e-06
621;2;9.926463e-06
622;5;9.955143e-06
623;2;9.912148e-06
624;4;9.961227e-06
625;5;9.872953e-06
626;2;9.908346e-06
627;2;9.916151e-06
628;2;9.827893e-06
629;2;9.500592e-06
630;2;9.416268e-06
631;3;9.863947e-06
632;2;9.788162e-06
633;3;9.906643e-06
634;2;9.881083e-06
635;3;9.899835e-06
636;2;9.840182e-06
637;3;9.926075e-06
638;2;9.790604e-06
639;2;9.933338e-06
640;3;9.927887e-06
641;2;9.396069e-06
642;2;9.370258e-06
643;2;9.763807e-06
644;4;9.916653e-06
645;4;9.998112e-06
646;4;9.784186e-06
647;2;9.729416e-06
648;2;9.927128e-06
649;4;9.982103e-06
650;4;9.799411e-06
651;4;9.583913e-06
652;4;9.343309e-06
653;2;9.824540e-06
654;4;9.540041e-06
655;2;9.791147e-06
656;4;9.563787e-06
657;2;9.838358e-06
658;4;9.601283e-06
659;2;9.846970e-06
660;4;9.589446e-06
661;2;9.813689e-06
662;4;9.538595e-06
663;2;9.739347e-06
664;4;9.449006e-06
665;2;9.693144e-06
666;4;9.413543e-06
667;2;9.612136e-06
668;6;9.433909e-06
669;4;9.856889e-06
670;6;9.400359e-06
671;4;9.609596e-06
672;4;9.616523e-06
673;4;9.626718e-06
674;4;9.571084e-06
675;4;9.508626e-06
676;4;9.392117e-06
677;4;9.241694e-06
678;4;9.030570e-06
679;2;9.797359e-06
680;4;9.765778e-06
681;4;9.823057e-06
682;4;9.851080e-06
683;4;9.738577e-06
684;4;9.532720e-06
685;4;9.227810e-06
686;2;9.971704e-06
687;8;9.518931e-06
688;6;9.732114e-06
689;6;9.706326e-06
690;6;9.574151e-06
691;4;9.809597e-06
692;6;9.587144e-06
693;2;9.990339e-06
694;6;9.845202e-06
695;4;9.764074e-06
696;4;9.641513e-06
697;4;9.526334e-06
698;2;9.817740e-06
699;4;9.779574e-06
700;2;9.642262e-06
701;2;9.672456e-06
702;4;9.630995e-06
703;2;9.518692e-06
704;2;9.842600e-06
705;4;9.588670e-06
706;2;9.534082e-06
707;2;9.726315e-06
708;2;9.718448e-06
709;2;9.536727e-06
710;2;9.233905e-06
711;2;9.133376e-06
712;2;9.036433e-06
713;2;9.145538e-06
714;2;9.432178e-06
715;2;9.662811e-06
716;2;9.848576e-06
717;4;9.529250e-06
718;2;9.640993e-06
719;4;9.282420e-06
720;2;9.256658e-06
721;2;9.600847e-06
722;2;9.618820e-06
723;2;9.723863e-06
724;2;9.777499e-06
725;4;9.790359e-06
726;4;9.897216e-06
